,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground
170,147,168,138,18,2,106.52,1,caught,1,v New Zealand,Kanpur
171,2,19,13,0,0,15.38,1,caught,1,v Sri Lanka,Dharamsala
172,208*,212,153,13,12,135.94,1,not out,1,v Sri Lanka,Mohali
173,7,14,14,0,1,50.00,1,bowled,2,v Sri Lanka,Visakhapatnam
174,20,25,30,2,1,66.66,1,caught,2,v South Africa,Durban
175,15,19,17,2,1,88.23,1,caught,2,v South Africa,Centurion
176,0,4,6,0,0,0.00,1,caught,1,v South Africa,Cape Town
177,5,19,13,1,0,38.46,1,caught,1,v South Africa,Johannesburg
178,115,179,126,11,4,91.26,2,caught,1,v South Africa,Port Elizabeth
179,15,14,13,3,0,115.38,2,caught,2,v South Africa,Centurion
180,137*,-,114,15,4,120.17,1,not out,2,v England,Nottingham
181,15,-,26,2,0,57.69,1,bowled,2,v England,Lord's
182,2,24,18,0,0,11.11,1,caught,1,v England,Leeds
183,23,-,22,4,0,104.54,1,caught,1,v Hong Kong,Dubai (DSC)
184,52,-,39,6,3,133.33,1,bowled,2,v Pakistan,Dubai (DSC)
185,83*,-,104,5,3,79.80,1,not out,2,v Bangladesh,Dubai (DSC)
186,111*,-,119,7,4,93.27,1,not out,2,v Pakistan,Dubai (DSC)
187,48,-,55,3,3,87.27,1,caught,2,v Bangladesh,Dubai (DSC)
188,152*,-,117,15,8,129.91,1,not out,2,v West Indies,Guwahati
189,4,14,8,1,0,50.00,1,caught,1,v West Indies,Visakhapatnam
190,8,-,9,2,0,88.88,1,bowled,2,v West Indies,Pune
191,162,-,137,20,4,118.24,1,caught,1,v West Indies,Mumbai (BS)
192,63*,65,56,5,4,112.50,1,not out,2,v West Indies,Thiruvananthapuram
193,133,204,129,10,6,103.10,1,caught,2,v Australia,Sydney
194,43,71,52,2,2,82.69,1,caught,2,v Australia,Adelaide
195,9,-,17,1,0,52.94,1,caught,2,v Australia,Melbourne
196,11,38,24,1,0,45.83,1,caught,2,v New Zealand,Napier
197,87,116,96,9,3,90.62,1,caught,1,v New Zealand,Mount Maunganui
198,62,115,77,3,2,80.51,1,stumped,2,v New Zealand,Mount Maunganui
199,7,33,23,0,0,30.43,1,caught,1,v New Zealand,Hamilton
200,2,16,16,0,0,12.50,1,bowled,1,v New Zealand,Wellington
201,37,-,66,5,0,56.06,1,caught,2,v Australia,Hyderabad (Deccan)
202,0,-,6,0,0,0.00,1,caught,1,v Australia,Nagpur
203,14,-,14,2,1,100.00,2,lbw,2,v Australia,Ranchi
204,95,-,92,7,2,103.26,1,caught,1,v Australia,Mohali
205,56,-,89,4,0,62.92,1,stumped,2,v Australia,Delhi
206,122*,212,144,13,2,84.72,2,not out,2,v South Africa,Southampton
207,57,101,70,3,1,81.42,1,caught,1,v Australia,The Oval
208,140,153,113,14,3,123.89,2,caught,1,v Pakistan,Manchester
209,1,60,10,0,0,10.00,2,bowled,1,v Afghanistan,Southampton
210,18,28,23,1,1,78.26,2,caught,1,v West Indies,Manchester
211,102,152,109,15,0,93.57,2,caught,2,v England,Birmingham
212,104,121,92,7,5,113.04,2,caught,1,v Bangladesh,Birmingham
213,103,133,94,14,2,109.57,2,caught,2,v Sri Lanka,Leeds
214,1,7,4,0,0,25.00,2,caught,2,v New Zealand,Manchester
215,TDNB,-,-,-,-,-,-,-,-,v West Indies,Providence
216,18,75,34,2,0,52.94,2,caught,1,v West Indies,Port of Spain
217,10,13,6,2,0,166.66,1,run out,2,v West Indies,Port of Spain
218,36,-,56,6,0,64.28,1,caught,1,v West Indies,Chennai
219,159,-,138,17,5,115.21,1,caught,1,v West Indies,Visakhapatnam
220,63,-,63,8,1,100.00,1,caught,2,v West Indies,Cuttack
221,10,-,15,2,0,66.66,1,caught,1,v Australia,Mumbai
222,42,-,44,6,0,95.45,1,lbw,1,v Australia,Rajkot
223,119,-,128,8,6,92.96,1,caught,2,v Australia,Bengaluru
