,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground
136,1*,9,3,0,0,33.33,3,not out,2,v England,Birmingham
137,13,25,21,2,0,61.90,3,caught,2,v England,Leeds
138,2,7,5,0,0,40.00,3,caught,2,v West Indies,Kochi
139,62,124,78,5,0,79.48,4,caught,1,v West Indies,Delhi
140,127,164,114,13,3,111.40,3,run out,1,v West Indies,Dharamsala
141,22,34,21,2,0,104.76,4,caught,1,v Sri Lanka,Cuttack
142,49,-,44,2,2,111.36,4,caught,2,v Sri Lanka,Ahmedabad
143,53,-,61,4,1,86.88,4,caught,2,v Sri Lanka,Hyderabad (Deccan)
144,66,109,64,6,0,103.12,4,run out,1,v Sri Lanka,Kolkata
145,139*,192,126,12,3,110.31,4,not out,2,v Sri Lanka,Ranchi
146,9,24,16,0,0,56.25,4,caught,1,v Australia,Melbourne
147,4,13,8,0,0,50.00,4,caught,1,v England,Brisbane
148,3*,8,9,0,0,33.33,4,not out,1,v Australia,Sydney
149,8,26,19,0,0,42.10,3,caught,1,v England,Perth
150,107,168,126,8,0,84.92,3,caught,1,v Pakistan,Adelaide
151,46,106,60,3,0,76.66,3,caught,1,v South Africa,Melbourne
152,33*,49,41,5,0,80.48,3,not out,2,v U.A.E.,Perth
153,33,51,36,5,0,91.66,3,caught,2,v West Indies,Perth
154,44*,64,42,4,1,104.76,3,not out,2,v Ireland,Hamilton
155,38,71,48,4,0,79.16,3,bowled,2,v Zimbabwe,Auckland
156,3,6,8,0,0,37.50,3,caught,1,v Bangladesh,Melbourne
157,1,11,13,0,0,7.69,3,caught,2,v Australia,Sydney
158,1,9,4,0,0,25.00,3,caught,2,v Bangladesh,Dhaka
159,23,57,27,3,1,85.18,3,lbw,1,v Bangladesh,Dhaka
160,25,55,35,1,0,71.42,3,bowled,1,v Bangladesh,Dhaka
161,11,29,18,0,0,61.11,4,caught,2,v South Africa,Kanpur
162,12,24,18,0,0,66.66,4,run out,1,v South Africa,Indore
163,77,155,99,5,0,77.77,3,caught,2,v South Africa,Rajkot
164,138,202,140,6,5,98.57,3,caught,1,v South Africa,Chennai
165,7,11,6,0,1,116.66,3,caught,2,v South Africa,Mumbai
166,91,148,97,9,1,93.81,3,caught,1,v Australia,Perth
167,59,84,67,4,0,88.05,3,run out,1,v Australia,Brisbane
168,117,174,117,7,2,100.00,3,caught,1,v Australia,Melbourne
169,106,131,92,11,1,115.21,3,caught,2,v Australia,Canberra
170,8,11,11,1,0,72.72,3,caught,2,v Australia,Sydney
171,85*,109,81,9,1,104.93,3,not out,2,v New Zealand,Dharamsala
172,9,18,13,1,0,69.23,3,caught,2,v New Zealand,Delhi
173,154*,202,134,16,1,114.92,3,not out,2,v New Zealand,Mohali
174,45,64,51,2,1,88.23,3,caught,2,v New Zealand,Ranchi
175,65,152,76,2,1,85.52,3,caught,1,v New Zealand,Visakhapatnam
176,122,147,105,8,5,116.19,3,caught,2,v England,Pune
177,8,6,5,2,0,160.00,3,caught,1,v England,Cuttack
178,55,81,63,8,0,87.30,3,caught,2,v England,Kolkata
179,81*,108,68,6,3,119.11,3,not out,1,v Pakistan,Birmingham
180,0,5,5,0,0,0.00,3,caught,1,v Sri Lanka,The Oval
181,76*,136,101,7,1,75.24,3,not out,2,v South Africa,The Oval
182,96*,96,78,13,0,123.07,3,not out,2,v Bangladesh,Birmingham
183,5,11,9,0,0,55.55,3,caught,2,v Pakistan,The Oval
184,32*,-,47,1,0,68.08,3,not out,1,v West Indies,Port of Spain
185,87,-,66,4,4,131.81,3,caught,1,v West Indies,Port of Spain
186,11,-,22,2,0,50.00,3,caught,1,v West Indies,North Sound
187,3,-,12,0,0,25.00,3,caught,2,v West Indies,North Sound
188,111*,-,115,12,2,96.52,3,not out,2,v West Indies,Kingston
189,82*,-,70,10,1,117.14,3,not out,2,v Sri Lanka,Dambulla
190,4,-,2,1,0,200.00,5,bowled,2,v Sri Lanka,Pallekele
191,3,-,11,0,0,27.27,3,caught,2,v Sri Lanka,Pallekele
192,131,-,96,17,2,136.45,3,caught,1,v Sri Lanka,Colombo (RPS)
193,110*,-,116,9,0,94.82,3,not out,2,v Sri Lanka,Colombo (RPS)
194,0,7,4,0,0,0.00,3,caught,1,v Australia,Chennai
195,92,148,107,8,0,85.98,3,bowled,1,v Australia,Kolkata
196,28,58,35,2,0,80.00,3,caught,2,v Australia,Indore
197,21,23,21,3,0,100.00,3,bowled,2,v Australia,Bengaluru
198,39,73,55,2,0,70.90,3,caught,2,v Australia,Nagpur
199,121,203,125,9,2,96.80,3,caught,1,v New Zealand,Mumbai
200,29,40,29,3,1,100.00,3,caught,2,v New Zealand,Pune
201,113,166,106,9,1,106.60,3,caught,1,v New Zealand,Kanpur
202,112,164,119,10,0,94.11,3,caught,2,v South Africa,Durban
203,46*,64,50,4,1,92.00,3,not out,2,v South Africa,Centurion
204,160*,220,159,12,2,100.62,3,not out,1,v South Africa,Cape Town
205,75,119,83,7,1,90.36,3,caught,1,v South Africa,Johannesburg
206,36,76,54,2,0,66.66,3,run out,1,v South Africa,Port Elizabeth
207,129*,123,96,19,2,134.37,3,not out,2,v South Africa,Centurion
208,75,-,82,7,0,91.46,3,stumped,2,v England,Nottingham
209,45,-,56,2,0,80.35,3,lbw,2,v England,Lord's
210,71,98,72,8,0,98.61,3,bowled,1,v England,Leeds
211,140,-,107,21,2,130.84,3,stumped,2,v West Indies,Guwahati
212,157*,217,129,13,4,121.70,3,not out,1,v West Indies,Visakhapatnam
213,107,-,119,10,1,89.91,3,bowled,2,v West Indies,Pune
214,16,-,17,2,0,94.11,3,caught,1,v West Indies,Mumbai (BS)
215,33*,57,29,6,0,113.79,3,not out,2,v West Indies,Thiruvananthapuram
216,3,10,8,0,0,37.50,3,caught,2,v Australia,Sydney
217,104,150,112,5,2,92.85,3,caught,2,v Australia,Adelaide
218,46,-,62,3,0,74.19,3,caught,2,v Australia,Melbourne
219,45,59,59,3,0,76.27,3,caught,2,v New Zealand,Napier
220,43,59,45,5,0,95.55,3,caught,1,v New Zealand,Mount Maunganui
221,60,94,74,6,1,81.08,3,caught,2,v New Zealand,Mount Maunganui
222,44,-,45,6,1,97.77,3,lbw,2,v Australia,Hyderabad (Deccan)
223,116,-,120,10,0,96.66,3,caught,1,v Australia,Nagpur
224,123,-,95,16,1,129.47,3,bowled,2,v Australia,Ranchi
225,7,-,6,1,0,116.66,4,caught,1,v Australia,Mohali
226,20,-,22,2,0,90.90,3,caught,2,v Australia,Delhi
227,18,44,34,1,0,52.94,3,caught,2,v South Africa,Southampton
228,82,128,77,4,2,106.49,3,caught,1,v Australia,The Oval
229,77,105,65,7,0,118.46,3,caught,1,v Pakistan,Manchester
230,67,105,63,5,0,106.34,3,caught,1,v Afghanistan,Southampton
231,72,146,82,8,0,87.80,3,caught,1,v West Indies,Manchester
232,66,103,76,7,0,86.84,3,caught,2,v England,Birmingham
233,26,45,27,3,0,96.29,3,caught,1,v Bangladesh,Birmingham
234,34*,61,41,3,0,82.92,3,not out,2,v Sri Lanka,Leeds
235,1,8,6,0,0,16.66,3,lbw,2,v New Zealand,Manchester
236,TDNB,-,-,-,-,-,-,-,-,v West Indies,Providence
237,120,179,125,14,1,96.00,3,caught,1,v West Indies,Port of Spain
238,114*,127,99,14,0,115.15,3,not out,2,v West Indies,Port of Spain
239,4,-,4,1,0,100.00,3,bowled,1,v West Indies,Chennai
240,0,-,1,0,0,0.00,3,caught,1,v West Indies,Visakhapatnam
241,85,-,81,9,0,104.93,3,bowled,2,v West Indies,Cuttack
242,16,-,14,0,1,114.28,4,caught,1,v Australia,Mumbai
243,78,-,76,6,0,102.63,3,caught,1,v Australia,Rajkot
244,89,-,91,8,0,97.80,3,bowled,2,v Australia,Bengaluru
245,51,88,63,6,0,80.95,3,bowled,1,v New Zealand,Hamilton
246,15,31,25,1,0,60.00,3,bowled,2,v New Zealand,Auckland
247,9,20,12,0,1,75.00,3,caught,1,v New Zealand,Mount Maunganui
