,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground
164,41,59,53,6,0,77.35,6,run out,1,v Sri Lanka,Dambulla
165,38,51,50,2,1,76.00,4,caught,1,v Sri Lanka,Dambulla
166,2,14,9,0,0,22.22,6,run out,2,v New Zealand,Dambulla
167,23*,56,38,2,0,60.52,6,not out,2,v Sri Lanka,Dambulla
168,10,-,16,2,0,62.50,6,caught,1,v Sri Lanka,Dambulla
169,38,96,75,3,0,50.66,6,caught,1,v New Zealand,Dambulla
170,67,140,100,5,1,67.00,5,bowled,2,v Sri Lanka,Dambulla
171,0,3,1,0,0,0.00,6,bowled,2,v Australia,Visakhapatnam
172,25,48,35,1,0,71.42,6,run out,2,v South Africa,Durban
173,38,101,61,1,0,62.29,5,bowled,1,v South Africa,Johannesburg
174,5,15,12,1,0,41.66,5,caught,2,v South Africa,Cape Town
175,2,9,8,0,0,25.00,6,caught,2,v South Africa,Port Elizabeth
176,5,11,10,1,0,50.00,4,caught,2,v South Africa,Centurion
177,DNB,-,-,-,-,-,-,-,1,v Bangladesh,Dhaka
178,31,38,25,3,1,124.00,5,caught,1,v England,Bengaluru
179,34,68,50,2,0,68.00,6,lbw,2,v Ireland,Bengaluru
180,19*,56,40,2,0,47.50,7,not out,2,v Netherlands,Delhi
181,12*,37,21,0,0,57.14,6,not out,1,v South Africa,Nagpur
182,22,41,30,1,0,73.33,5,stumped,1,v West Indies,Chennai
183,7,19,8,1,0,87.50,6,caught,2,v Australia,Ahmedabad
184,25,64,42,2,0,59.52,6,lbw,1,v Pakistan,Mohali
185,91*,128,79,8,2,115.18,5,not out,2,v Sri Lanka,Mumbai
186,33,41,36,2,0,91.66,7,caught,1,v England,Chester-le-Street
187,6,9,5,1,0,120.00,6,caught,1,v England,Southampton
188,69,142,103,5,0,66.99,6,caught,1,v England,The Oval
189,78*,110,71,6,3,109.85,6,not out,1,v England,Lord's
190,50*,35,26,5,2,192.30,6,not out,1,v England,Cardiff
191,87*,104,70,10,1,124.28,6,not out,1,v England,Hyderabad (Deccan)
192,DNB,-,-,-,-,-,-,-,2,v England,Delhi
193,35*,53,31,3,0,112.90,6,not out,2,v England,Mohali
194,15*,-,18,1,1,83.33,6,not out,2,v England,Mumbai
195,75*,103,69,3,4,108.69,6,not out,1,v England,Kolkata
196,29,61,38,1,0,76.31,6,caught,2,v Australia,Melbourne
197,4,6,5,1,0,80.00,6,caught,2,v Sri Lanka,Perth
198,44*,76,58,0,1,75.86,6,not out,2,v Australia,Adelaide
199,58*,113,69,3,1,84.05,6,not out,2,v Sri Lanka,Adelaide
200,56,115,84,2,1,66.66,6,caught,2,v Australia,Brisbane
201,14,68,49,0,0,28.57,6,lbw,2,v Australia,Sydney
202,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Hobart
203,46*,38,26,6,1,176.92,4,not out,1,v Sri Lanka,Dhaka
204,21*,20,11,2,0,190.90,5,not out,1,v Bangladesh,Dhaka
205,4*,4,1,1,0,400.00,6,not out,2,v Pakistan,Dhaka
206,35,49,29,3,1,120.68,6,caught,1,v Sri Lanka,Hambantota
207,11,26,16,2,0,68.75,6,caught,1,v Sri Lanka,Hambantota
208,31,60,49,1,0,63.26,4,bowled,2,v Sri Lanka,Colombo (RPS)
209,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Colombo (RPS)
210,58,57,38,8,1,152.63,7,caught,1,v Sri Lanka,Pallekele
211,113*,177,125,7,3,90.40,7,not out,1,v Pakistan,Chennai
212,54*,121,89,4,1,60.67,6,not out,2,v Pakistan,Kolkata
213,36,77,55,1,3,65.45,6,caught,1,v Pakistan,Delhi
214,32,54,25,0,4,128.00,6,caught,2,v England,Rajkot
215,72,117,66,7,2,109.09,6,caught,1,v England,Kochi
216,10*,12,12,2,0,83.33,5,not out,2,v England,Ranchi
217,19,49,21,2,0,90.47,6,caught,2,v England,Mohali
218,15,38,23,2,0,65.21,6,lbw,1,v England,Dharamsala
219,27,42,26,3,0,103.84,5,caught,1,v South Africa,Cardiff
220,DNB,-,-,-,-,-,-,-,2,v West Indies,The Oval
221,DNB,-,-,-,-,-,-,-,2,v Pakistan,Birmingham
222,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Cardiff
223,0,3,4,0,0,0.00,6,caught,1,v England,Birmingham
224,27,66,35,1,0,77.14,6,bowled,1,v West Indies,Kingston
225,45*,98,52,5,2,86.53,6,not out,2,v Sri Lanka,Port of Spain
226,19,52,22,2,0,86.36,6,bowled,2,v Australia,Pune
227,DNB,-,-,-,-,-,-,-,2,v Australia,Jaipur
228,139*,169,121,12,5,114.87,6,not out,1,v Australia,Mohali
229,DNB,-,-,-,-,-,-,-,2,v Australia,Ranchi
230,25*,35,23,2,0,108.69,6,not out,2,v Australia,Nagpur
231,62,73,38,7,2,163.15,6,run out,1,v Australia,Bengaluru
232,13*,14,7,3,0,185.71,6,not out,2,v West Indies,Kochi
233,51*,61,40,3,4,127.50,6,not out,1,v West Indies,Visakhapatnam
234,23*,48,23,3,0,100.00,6,not out,2,v West Indies,Kanpur
235,65,125,71,8,1,91.54,6,bowled,2,v South Africa,Johannesburg
236,19,43,31,0,0,61.29,6,caught,2,v South Africa,Durban
237,TDNB,-,-,-,-,-,-,-,-,v South Africa,Centurion
238,40,72,46,2,2,86.95,6,caught,2,v New Zealand,Napier
239,56,81,44,7,1,127.27,5,caught,2,v New Zealand,Hamilton
240,50,79,60,2,3,83.33,6,caught,2,v New Zealand,Auckland
241,79*,111,73,6,3,108.21,5,not out,1,v New Zealand,Hamilton
242,47,79,72,3,0,65.27,6,caught,2,v New Zealand,Wellington
243,52,94,51,6,0,101.96,6,bowled,1,v England,Cardiff
244,DNB,-,-,-,-,-,-,-,2,v England,Nottingham
245,DNB,-,-,-,-,-,-,-,2,v England,Birmingham
246,29,63,42,1,1,69.04,6,caught,2,v England,Leeds
247,8,37,21,0,0,38.09,6,bowled,2,v West Indies,Kochi
248,51*,66,40,5,1,127.50,6,not out,1,v West Indies,Delhi
249,6,10,5,0,0,120.00,5,run out,1,v West Indies,Dharamsala
250,19,42,31,2,0,61.29,6,bowled,1,v Australia,Melbourne
251,34,70,61,1,0,55.73,6,caught,1,v England,Brisbane
252,DNB,-,-,-,-,-,-,-,1,v Australia,Sydney
253,17,38,32,3,0,53.12,6,lbw,1,v England,Perth
254,18,22,13,1,1,138.46,5,caught,1,v Pakistan,Adelaide
255,18,22,11,3,0,163.63,6,caught,1,v South Africa,Melbourne
256,DNB,-,-,-,-,-,-,-,2,v U.A.E.,Perth
257,45*,96,56,3,1,80.35,6,not out,2,v West Indies,Perth
258,DNB,-,-,-,-,-,-,-,2,v Ireland,Hamilton
259,85*,113,76,8,2,111.84,6,not out,2,v Zimbabwe,Auckland
260,6,28,11,0,0,54.54,6,caught,1,v Bangladesh,Melbourne
261,65,94,65,3,2,100.00,6,run out,2,v Australia,Sydney
262,5,13,7,0,0,71.42,6,caught,2,v Bangladesh,Dhaka
263,47,112,75,3,0,62.66,4,caught,1,v Bangladesh,Dhaka
264,69,112,77,6,1,89.61,4,caught,1,v Bangladesh,Dhaka
265,31,54,30,1,0,103.33,5,caught,2,v South Africa,Kanpur
266,92*,144,86,7,4,106.97,5,not out,1,v South Africa,Indore
267,47,85,61,5,0,77.04,4,caught,2,v South Africa,Rajkot
268,15,28,16,1,0,93.75,6,caught,1,v South Africa,Chennai
269,27,50,29,3,0,93.10,6,bowled,2,v South Africa,Mumbai
270,18,18,13,1,1,138.46,4,caught,1,v Australia,Perth
271,11,16,10,0,0,110.00,5,caught,1,v Australia,Brisbane
272,23,23,9,2,2,255.55,5,caught,1,v Australia,Melbourne
273,0,2,3,0,0,0.00,4,caught,2,v Australia,Canberra
274,34,64,42,1,1,80.95,5,caught,2,v Australia,Sydney
275,DNB,-,-,-,-,-,-,-,2,v Zimbabwe,Harare
276,DNB,-,-,-,-,-,-,-,2,v Zimbabwe,Harare
277,DNB,-,-,-,-,-,-,-,2,v Zimbabwe,Harare
